placeholder, aeb45d2f-da14-49d2-82a7-003818c3082c, $$CURRENTPATH$/aeb45d2f-da14-49d2-82a7-003818c3082c, $$NEWPATH$$/test-topics-and-placeholders/placeholder
enterprise-privacy-yammer, eae49f12-4661-4ba5-aa72-01248f0709bf, $$CURRENTPATH$/eae49f12-4661-4ba5-aa72-01248f0709bf, $$NEWPATH$$/security-and-compliance-topics/enterprise-privacy-yammer
manage-yammer-admins, 4f6763f4-23e2-43b0-a554-08931295e863, $$CURRENTPATH$/4f6763f4-23e2-43b0-a554-08931295e863, $$NEWPATH$$/user-topics/manage-yammer-admins
this-is-no-longer-a-placeholder, 68e82c91-5c0f-44dd-8a5b-0c9ca94c2cbc, $$CURRENTPATH$/68e82c91-5c0f-44dd-8a5b-0c9ca94c2cbc, $$NEWPATH$$/test-topics-and-placeholders/accessibility/this-is-no-longer-a-placeholder
compare-options-for-a-free-trial-of-yammer, 56b68dcc-ecd7-4311-bbc8-0e96e40244b3, $$CURRENTPATH$/56b68dcc-ecd7-4311-bbc8-0e96e40244b3, $$NEWPATH$$/compare-options-for-a-free-trial-of-yammer
create-a-dynamic-group-in-yammer, 6d2a6ec7-1d65-46bb-b253-1bf441ec80a5, $$CURRENTPATH$/6d2a6ec7-1d65-46bb-b253-1bf441ec80a5, $$NEWPATH$$/group-topics/create-a-dynamic-group-in-yammer
manage-yammer-data-compliance, 8c4651fa-12c2-4ced-b4ea-2200c0a630ed, $$CURRENTPATH$/8c4651fa-12c2-4ced-b4ea-2200c0a630ed, $$NEWPATH$$/security-and-compliance-topics/manage-yammer-data-compliance
manage-yammer-security-settings, a5f747cc-1306-450e-b8e2-23f465756f1e, $$CURRENTPATH$/a5f747cc-1306-450e-b8e2-23f465756f1e, $$NEWPATH$$/security-and-compliance-topics/manage-yammer-security-settings
customize-the-look-of-your-yammer-network, 60850824-47ba-4927-91a7-268d28f5fb52, $$CURRENTPATH$/60850824-47ba-4927-91a7-268d28f5fb52, $$NEWPATH$$/customize-the-look-of-your-yammer-network
manage-yammer-with-microsoft-intune, 76f5c4c9-6a4e-43d1-87dc-2848a90686be, $$CURRENTPATH$/76f5c4c9-6a4e-43d1-87dc-2848a90686be, $$NEWPATH$$/security-and-compliance-topics/manage-yammer-with-microsoft-intune
integrate-yammer-with-other-applications, 37b730d6-99ad-43a2-967a-2eb52f48bdba, $$CURRENTPATH$/37b730d6-99ad-43a2-967a-2eb52f48bdba, $$NEWPATH$$/integration-topics/integrate-yammer-with-other-applications
configure-your-yammer-network, f886e916-fe64-41de-be52-38d458250fa5, $$CURRENTPATH$/f886e916-fe64-41de-be52-38d458250fa5, $$NEWPATH$$/configure-your-yammer-network
network-migration-consolidate-multiple-yammer-networks, a22c1b20-9231-4ce2-a916-392b1056d002, $$CURRENTPATH$/a22c1b20-9231-4ce2-a916-392b1056d002, $$NEWPATH$$/network-and-domain-topics/network-migration-consolidate-multiple-yammer-networks
manage-yammer-basic-users, 87d0cd1c-306c-4b19-9f86-397c3c4615dc, $$CURRENTPATH$/87d0cd1c-306c-4b19-9f86-397c3c4615dc, $$NEWPATH$$/user-topics/manage-yammer-basic-users
create-and-manage-an-external-network-in-yammer, 04ffd9c0-f004-498f-b058-3ea7da3b7311, $$CURRENTPATH$/04ffd9c0-f004-498f-b058-3ea7da3b7311, $$NEWPATH$$/external-messaging-topics/create-and-manage-an-external-network-in-yammer
about-yammer-networks-and-office-365-tenants, 85516b0c-79ad-4483-8534-4477c8d26e1a, $$CURRENTPATH$/85516b0c-79ad-4483-8534-4477c8d26e1a, $$NEWPATH$$/network-and-domain-topics/about-yammer-networks-and-office-365-tenants
create-and-manage-external-groups-in-yammer, 9ccd15ce-0efc-4dc1-81bc-4a424ab6f92a, $$CURRENTPATH$/9ccd15ce-0efc-4dc1-81bc-4a424ab6f92a, $$NEWPATH$$/external-messaging-topics/create-and-manage-external-groups-in-yammer
export-data-from-yammer-enterprise, b303d8f3-007d-4ad4-81f8-54fb1ecfb3f2, $$CURRENTPATH$/b303d8f3-007d-4ad4-81f8-54fb1ecfb3f2, $$NEWPATH$$/security-and-compliance-topics/export-data-from-yammer-enterprise
turn-off-yammer-access-for-office-365-users, 1f79bfad-f713-4143-aa5d-5584985ce53a, $$CURRENTPATH$/1f79bfad-f713-4143-aa5d-5584985ce53a, $$NEWPATH$$/user-topics/turn-off-yammer-access-for-office-365-users
audit-yammer-users-in-networks-connected-to-office-365, 99f6f0e1-5a8d-4546-979d-564a5a453a8c, $$CURRENTPATH$/99f6f0e1-5a8d-4546-979d-564a5a453a8c, $$NEWPATH$$/user-topics/audit-yammer-users-in-networks-connected-to-office-365
control-external-messaging-in-a-yammer-network-with-exchange-transport-rules, f8fd6403-c8f3-4307-9230-65304d6000d9, $$CURRENTPATH$/f8fd6403-c8f3-4307-9230-65304d6000d9, $$NEWPATH$$/external-messaging-topics/control-external-messaging-in-a-yammer-network-with-exchange-transport-rules
track-yammer-events-in-the-office-365-audit-log-and-with-the-management-activity, ce0a68ef-9731-4891-8c6b-6882988e727d, $$CURRENTPATH$/ce0a68ef-9731-4891-8c6b-6882988e727d, $$NEWPATH$$/security-and-compliance-topics/track-yammer-events-in-the-office-365-audit-log-and-with-the-management-activity
yammer-and-office-365-groups, d8c239dc-a48b-47ab-b85e-6b4b8191a869, $$CURRENTPATH$/d8c239dc-a48b-47ab-b85e-6b4b8191a869, $$NEWPATH$$/group-topics/yammer-and-office-365-groups
converting-yammer-notes-into-word-online-documents, 1aaec7ab-109b-4477-92be-6b558fb731ca, $$CURRENTPATH$/1aaec7ab-109b-4477-92be-6b558fb731ca, $$NEWPATH$$/temporary-topicscheck-quarterly/converting-yammer-notes-into-word-online-documents
upgrade-your-network-to-stand-alone-yammer-enterprise-subscription, 9cdcf894-4a3d-4956-8a6c-6cb4d62770ea, $$CURRENTPATH$/9cdcf894-4a3d-4956-8a6c-6cb4d62770ea, $$NEWPATH$$/temporary-topicscheck-quarterly/upgrade-your-network-to-stand-alone-yammer-enterprise-subscription
limited-functionality-in-yammer-in-internet-explorer-10-document-mode, ca3f639d-2843-4ebb-9b54-95ebd2b8ecf1, $$CURRENTPATH$/ca3f639d-2843-4ebb-9b54-95ebd2b8ecf1, $$NEWPATH$$/troubleshooting-topics/limited-functionality-in-yammer-in-internet-explorer-10-document-mode
